ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_dithiophene_OH_2.UDS
ï™êÕì˙éû:	14:50:25, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
612.00	0.032
611.50	0.032
611.00	0.032
610.50	0.032
610.00	0.032
609.50	0.032
609.00	0.033
608.50	0.033
608.00	0.033
607.50	0.033
607.00	0.034
606.50	0.034
606.00	0.034
605.50	0.035
605.00	0.035
604.50	0.036
604.00	0.036
603.50	0.037
603.00	0.037
602.50	0.038
602.00	0.039
601.50	0.039
601.00	0.040
600.50	0.040
600.00	0.041
599.50	0.041
599.00	0.042
598.50	0.043
598.00	0.044
597.50	0.045
597.00	0.046
596.50	0.047
596.00	0.048
595.50	0.049
595.00	0.050
594.50	0.051
594.00	0.052
593.50	0.053
593.00	0.054
592.50	0.055
592.00	0.056
591.50	0.058
591.00	0.059
590.50	0.060
590.00	0.061
589.50	0.062
589.00	0.063
588.50	0.064
588.00	0.065
587.50	0.066
587.00	0.067
586.50	0.067
586.00	0.068
585.50	0.069
585.00	0.070
584.50	0.071
584.00	0.072
583.50	0.073
583.00	0.074
582.50	0.075
582.00	0.075
581.50	0.076
581.00	0.077
580.50	0.078
580.00	0.078
579.50	0.079
579.00	0.079
578.50	0.080
578.00	0.080
577.50	0.081
577.00	0.081
576.50	0.082
576.00	0.082
575.50	0.082
575.00	0.082
574.50	0.082
574.00	0.083
573.50	0.083
573.00	0.083
572.50	0.083
572.00	0.082
571.50	0.082
571.00	0.081
570.50	0.081
570.00	0.080
569.50	0.080
569.00	0.080
568.50	0.079
568.00	0.078
567.50	0.078
567.00	0.077
566.50	0.076
566.00	0.075
565.50	0.075
565.00	0.074
564.50	0.074
564.00	0.073
563.50	0.072
563.00	0.072
562.50	0.071
562.00	0.071
561.50	0.070
561.00	0.070
560.50	0.070
560.00	0.069
559.50	0.069
559.00	0.069
558.50	0.069
558.00	0.069
557.50	0.069
557.00	0.069
556.50	0.070
556.00	0.070
555.50	0.071
555.00	0.071
554.50	0.072
554.00	0.072
553.50	0.073
553.00	0.074
552.50	0.075
552.00	0.076
551.50	0.077
551.00	0.078
550.50	0.079
550.00	0.081
549.50	0.082
549.00	0.083
548.50	0.084
548.00	0.086
547.50	0.087
547.00	0.089
546.50	0.090
546.00	0.092
545.50	0.093
545.00	0.095
544.50	0.096
544.00	0.098
543.50	0.099
543.00	0.101
542.50	0.102
542.00	0.103
541.50	0.104
541.00	0.105
540.50	0.106
540.00	0.106
539.50	0.107
539.00	0.108
538.50	0.108
538.00	0.109
537.50	0.109
537.00	0.109
536.50	0.109
536.00	0.109
535.50	0.109
535.00	0.109
534.50	0.109
534.00	0.108
533.50	0.107
533.00	0.107
532.50	0.106
532.00	0.105
531.50	0.104
531.00	0.103
530.50	0.102
530.00	0.100
529.50	0.099
529.00	0.097
528.50	0.096
528.00	0.094
527.50	0.093
527.00	0.091
526.50	0.089
526.00	0.087
525.50	0.085
525.00	0.084
524.50	0.082
524.00	0.080
523.50	0.078
523.00	0.076
522.50	0.075
522.00	0.073
521.50	0.071
521.00	0.069
520.50	0.068
520.00	0.067
519.50	0.065
519.00	0.064
518.50	0.063
518.00	0.062
517.50	0.060
517.00	0.059
516.50	0.058
516.00	0.057
515.50	0.056
515.00	0.056
514.50	0.055
514.00	0.054
513.50	0.053
513.00	0.052
512.50	0.052
512.00	0.051
511.50	0.051
511.00	0.050
510.50	0.050
510.00	0.050
509.50	0.050
509.00	0.049
508.50	0.049
508.00	0.049
507.50	0.049
507.00	0.049
506.50	0.049
506.00	0.050
505.50	0.050
505.00	0.050
504.50	0.050
504.00	0.050
503.50	0.051
503.00	0.051
502.50	0.051
502.00	0.051
501.50	0.052
501.00	0.052
500.50	0.052
500.00	0.052
499.50	0.053
499.00	0.053
498.50	0.053
498.00	0.053
497.50	0.054
497.00	0.054
496.50	0.054
496.00	0.054
495.50	0.055
495.00	0.055
494.50	0.055
