ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiophene_OH_max.UDS
ï™êÕì˙éû:	18:02:11, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
612.00	0.063
611.50	0.063
611.00	0.062
610.50	0.062
610.00	0.061
609.50	0.061
609.00	0.060
608.50	0.059
608.00	0.059
607.50	0.058
607.00	0.058
606.50	0.057
606.00	0.057
605.50	0.056
605.00	0.056
604.50	0.055
604.00	0.054
603.50	0.054
603.00	0.053
602.50	0.053
602.00	0.052
601.50	0.052
601.00	0.051
600.50	0.051
600.00	0.050
599.50	0.050
599.00	0.050
598.50	0.049
598.00	0.049
597.50	0.049
597.00	0.049
596.50	0.049
596.00	0.049
595.50	0.048
595.00	0.048
594.50	0.048
594.00	0.048
593.50	0.048
593.00	0.048
592.50	0.048
592.00	0.048
591.50	0.048
591.00	0.048
590.50	0.048
590.00	0.048
589.50	0.049
589.00	0.049
588.50	0.049
588.00	0.049
587.50	0.049
587.00	0.049
586.50	0.049
586.00	0.049
585.50	0.049
585.00	0.049
584.50	0.049
584.00	0.049
583.50	0.049
583.00	0.049
582.50	0.049
582.00	0.049
581.50	0.049
581.00	0.048
580.50	0.048
580.00	0.048
579.50	0.048
579.00	0.048
578.50	0.047
578.00	0.047
577.50	0.047
577.00	0.046
576.50	0.046
576.00	0.045
575.50	0.045
575.00	0.044
574.50	0.044
574.00	0.043
573.50	0.043
573.00	0.043
572.50	0.042
572.00	0.042
571.50	0.041
571.00	0.040
570.50	0.040
570.00	0.039
569.50	0.039
569.00	0.039
568.50	0.038
568.00	0.038
567.50	0.038
567.00	0.037
566.50	0.037
566.00	0.037
565.50	0.037
565.00	0.037
564.50	0.037
564.00	0.036
563.50	0.036
563.00	0.036
562.50	0.036
562.00	0.036
561.50	0.036
561.00	0.036
560.50	0.036
560.00	0.036
559.50	0.036
559.00	0.036
558.50	0.036
558.00	0.036
557.50	0.036
557.00	0.036
556.50	0.037
556.00	0.037
555.50	0.037
555.00	0.037
554.50	0.038
554.00	0.038
553.50	0.038
553.00	0.038
552.50	0.039
552.00	0.039
551.50	0.040
551.00	0.040
550.50	0.041
550.00	0.041
549.50	0.042
549.00	0.042
548.50	0.043
548.00	0.043
547.50	0.044
547.00	0.045
546.50	0.045
546.00	0.046
545.50	0.046
545.00	0.047
544.50	0.047
544.00	0.048
543.50	0.049
543.00	0.050
542.50	0.050
542.00	0.051
541.50	0.052
541.00	0.052
540.50	0.052
540.00	0.053
539.50	0.053
539.00	0.053
538.50	0.053
538.00	0.054
537.50	0.054
537.00	0.054
536.50	0.054
536.00	0.054
535.50	0.054
535.00	0.054
534.50	0.054
534.00	0.053
533.50	0.053
533.00	0.053
532.50	0.052
532.00	0.052
531.50	0.051
531.00	0.051
530.50	0.050
530.00	0.050
529.50	0.049
529.00	0.048
528.50	0.048
528.00	0.047
527.50	0.046
527.00	0.046
526.50	0.045
526.00	0.044
525.50	0.043
525.00	0.042
524.50	0.042
524.00	0.041
523.50	0.041
523.00	0.040
522.50	0.040
522.00	0.039
521.50	0.039
521.00	0.038
520.50	0.038
520.00	0.038
519.50	0.037
519.00	0.037
518.50	0.037
518.00	0.036
517.50	0.036
517.00	0.036
516.50	0.036
516.00	0.036
515.50	0.036
515.00	0.036
514.50	0.036
514.00	0.036
513.50	0.036
513.00	0.036
512.50	0.036
512.00	0.036
511.50	0.036
511.00	0.036
510.50	0.036
510.00	0.036
509.50	0.036
509.00	0.037
508.50	0.037
508.00	0.037
507.50	0.037
507.00	0.037
506.50	0.038
506.00	0.038
505.50	0.038
505.00	0.039
504.50	0.039
504.00	0.040
503.50	0.040
503.00	0.040
502.50	0.041
502.00	0.041
501.50	0.041
501.00	0.042
500.50	0.042
500.00	0.042
499.50	0.043
499.00	0.043
498.50	0.043
498.00	0.044
497.50	0.044
497.00	0.045
496.50	0.045
496.00	0.045
495.50	0.046
495.00	0.046
494.50	0.046
494.00	0.047
493.50	0.047
493.00	0.047
492.50	0.048
492.00	0.048
491.50	0.048
491.00	0.049
490.50	0.049
490.00	0.050
489.50	0.050
489.00	0.050
488.50	0.051
488.00	0.051
487.50	0.052
487.00	0.053
486.50	0.053
486.00	0.054
485.50	0.054
485.00	0.055
484.50	0.056
484.00	0.056
483.50	0.057
483.00	0.058
482.50	0.059
