ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiazole_OH_55.UDS
ï™êÕì˙éû:	16:37:22, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
800.00	0.004
799.50	0.004
799.00	0.004
798.50	0.004
798.00	0.004
797.50	0.004
797.00	0.004
796.50	0.004
796.00	0.004
795.50	0.004
795.00	0.004
794.50	0.004
794.00	0.004
793.50	0.004
793.00	0.004
792.50	0.004
792.00	0.004
791.50	0.004
791.00	0.004
790.50	0.004
790.00	0.004
789.50	0.004
789.00	0.004
788.50	0.004
788.00	0.004
787.50	0.004
787.00	0.004
786.50	0.004
786.00	0.004
785.50	0.004
785.00	0.004
784.50	0.004
784.00	0.004
783.50	0.004
783.00	0.004
782.50	0.005
782.00	0.004
781.50	0.005
781.00	0.004
780.50	0.004
780.00	0.005
779.50	0.005
779.00	0.005
778.50	0.005
778.00	0.005
777.50	0.005
777.00	0.005
776.50	0.005
776.00	0.005
775.50	0.005
775.00	0.005
774.50	0.005
774.00	0.005
773.50	0.005
773.00	0.005
772.50	0.005
772.00	0.005
771.50	0.005
771.00	0.005
770.50	0.005
770.00	0.005
769.50	0.005
769.00	0.005
768.50	0.005
768.00	0.005
767.50	0.005
767.00	0.005
766.50	0.005
766.00	0.005
765.50	0.005
765.00	0.005
764.50	0.005
764.00	0.005
763.50	0.005
763.00	0.005
762.50	0.006
762.00	0.006
761.50	0.006
761.00	0.006
760.50	0.006
760.00	0.006
759.50	0.006
759.00	0.006
758.50	0.006
758.00	0.006
757.50	0.007
757.00	0.007
756.50	0.007
756.00	0.007
755.50	0.006
755.00	0.006
754.50	0.006
754.00	0.006
753.50	0.006
753.00	0.006
752.50	0.007
752.00	0.007
751.50	0.007
751.00	0.007
750.50	0.007
750.00	0.007
749.50	0.007
749.00	0.007
748.50	0.007
748.00	0.007
747.50	0.007
747.00	0.008
746.50	0.008
746.00	0.008
745.50	0.008
745.00	0.008
744.50	0.008
744.00	0.008
743.50	0.008
743.00	0.008
742.50	0.008
742.00	0.009
741.50	0.009
741.00	0.009
740.50	0.009
740.00	0.009
739.50	0.009
739.00	0.009
738.50	0.009
738.00	0.009
737.50	0.010
737.00	0.010
736.50	0.010
736.00	0.010
735.50	0.010
735.00	0.010
734.50	0.011
734.00	0.011
733.50	0.011
733.00	0.011
732.50	0.012
732.00	0.012
731.50	0.012
731.00	0.012
730.50	0.013
730.00	0.013
729.50	0.013
729.00	0.013
728.50	0.013
728.00	0.013
727.50	0.014
727.00	0.014
726.50	0.015
726.00	0.015
725.50	0.016
725.00	0.016
724.50	0.016
724.00	0.016
723.50	0.017
723.00	0.017
722.50	0.018
722.00	0.018
721.50	0.019
721.00	0.019
720.50	0.020
720.00	0.020
719.50	0.021
719.00	0.021
718.50	0.022
718.00	0.022
717.50	0.023
717.00	0.024
716.50	0.024
716.00	0.025
715.50	0.026
715.00	0.026
714.50	0.027
714.00	0.028
713.50	0.028
713.00	0.029
712.50	0.030
712.00	0.031
711.50	0.032
711.00	0.033
710.50	0.034
710.00	0.035
709.50	0.037
709.00	0.038
708.50	0.039
708.00	0.040
707.50	0.041
707.00	0.043
706.50	0.044
706.00	0.046
705.50	0.047
705.00	0.049
704.50	0.050
704.00	0.052
703.50	0.053
703.00	0.055
702.50	0.056
702.00	0.058
701.50	0.060
701.00	0.061
700.50	0.063
700.00	0.065
699.50	0.067
699.00	0.069
698.50	0.071
698.00	0.073
697.50	0.075
697.00	0.078
696.50	0.080
696.00	0.082
695.50	0.084
695.00	0.086
694.50	0.088
694.00	0.091
693.50	0.093
693.00	0.095
692.50	0.097
692.00	0.100
691.50	0.102
691.00	0.104
690.50	0.107
690.00	0.109
689.50	0.111
689.00	0.114
688.50	0.116
688.00	0.118
687.50	0.120
687.00	0.122
686.50	0.124
686.00	0.126
685.50	0.129
685.00	0.131
684.50	0.133
684.00	0.135
683.50	0.136
683.00	0.138
682.50	0.140
682.00	0.142
681.50	0.144
681.00	0.145
680.50	0.147
680.00	0.148
679.50	0.149
