ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_dithiophene_OH_max.UDS
ï™êÕì˙éû:	18:10:19, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
612.00	0.088
611.50	0.088
611.00	0.088
610.50	0.087
610.00	0.087
609.50	0.087
609.00	0.086
608.50	0.086
608.00	0.085
607.50	0.084
607.00	0.084
606.50	0.083
606.00	0.082
605.50	0.082
605.00	0.081
604.50	0.080
604.00	0.080
603.50	0.079
603.00	0.078
602.50	0.078
602.00	0.077
601.50	0.076
601.00	0.076
600.50	0.075
600.00	0.075
599.50	0.075
599.00	0.074
598.50	0.074
598.00	0.074
597.50	0.075
597.00	0.075
596.50	0.075
596.00	0.075
595.50	0.075
595.00	0.075
594.50	0.075
594.00	0.075
593.50	0.074
593.00	0.075
592.50	0.075
592.00	0.075
591.50	0.075
591.00	0.075
590.50	0.075
590.00	0.075
589.50	0.075
589.00	0.075
588.50	0.075
588.00	0.074
587.50	0.074
587.00	0.073
586.50	0.073
586.00	0.072
585.50	0.072
585.00	0.071
584.50	0.071
584.00	0.070
583.50	0.070
583.00	0.069
582.50	0.068
582.00	0.067
581.50	0.067
581.00	0.066
580.50	0.065
580.00	0.064
579.50	0.063
579.00	0.063
578.50	0.062
578.00	0.061
577.50	0.060
577.00	0.059
576.50	0.058
576.00	0.057
575.50	0.057
575.00	0.056
574.50	0.055
574.00	0.054
573.50	0.054
573.00	0.053
572.50	0.052
572.00	0.052
571.50	0.051
571.00	0.050
570.50	0.050
570.00	0.049
569.50	0.049
569.00	0.049
568.50	0.048
568.00	0.048
567.50	0.047
567.00	0.047
566.50	0.047
566.00	0.047
565.50	0.047
565.00	0.046
564.50	0.046
564.00	0.046
563.50	0.046
563.00	0.046
562.50	0.046
562.00	0.046
561.50	0.046
561.00	0.046
560.50	0.046
560.00	0.046
559.50	0.046
559.00	0.047
558.50	0.047
558.00	0.047
557.50	0.047
557.00	0.047
556.50	0.048
556.00	0.048
555.50	0.048
555.00	0.049
554.50	0.049
554.00	0.050
553.50	0.050
553.00	0.050
552.50	0.051
552.00	0.052
551.50	0.052
551.00	0.053
550.50	0.053
550.00	0.054
549.50	0.054
549.00	0.054
548.50	0.055
548.00	0.056
547.50	0.056
547.00	0.057
546.50	0.057
546.00	0.058
545.50	0.058
545.00	0.059
544.50	0.059
544.00	0.060
543.50	0.061
543.00	0.061
542.50	0.061
542.00	0.062
541.50	0.062
541.00	0.062
540.50	0.062
540.00	0.062
539.50	0.063
539.00	0.063
538.50	0.062
538.00	0.062
537.50	0.062
537.00	0.062
536.50	0.062
536.00	0.062
535.50	0.061
535.00	0.061
534.50	0.061
534.00	0.060
533.50	0.060
533.00	0.059
532.50	0.059
532.00	0.058
531.50	0.058
531.00	0.057
530.50	0.057
530.00	0.056
529.50	0.056
529.00	0.055
528.50	0.054
528.00	0.053
527.50	0.053
527.00	0.052
526.50	0.051
526.00	0.050
525.50	0.050
525.00	0.049
524.50	0.049
524.00	0.048
523.50	0.048
523.00	0.047
522.50	0.046
522.00	0.046
521.50	0.045
521.00	0.045
520.50	0.044
520.00	0.044
519.50	0.044
519.00	0.044
518.50	0.044
518.00	0.043
517.50	0.043
517.00	0.043
516.50	0.043
516.00	0.042
515.50	0.042
515.00	0.042
514.50	0.042
514.00	0.042
513.50	0.043
513.00	0.043
512.50	0.043
512.00	0.043
511.50	0.043
511.00	0.043
510.50	0.043
510.00	0.044
509.50	0.044
509.00	0.044
508.50	0.045
508.00	0.045
507.50	0.045
507.00	0.045
506.50	0.046
506.00	0.046
505.50	0.047
505.00	0.047
504.50	0.048
504.00	0.048
503.50	0.049
503.00	0.049
502.50	0.050
502.00	0.050
501.50	0.051
501.00	0.052
500.50	0.052
500.00	0.053
499.50	0.053
499.00	0.054
498.50	0.054
498.00	0.055
497.50	0.056
497.00	0.056
496.50	0.057
496.00	0.058
495.50	0.059
495.00	0.059
494.50	0.060
494.00	0.061
493.50	0.061
493.00	0.062
492.50	0.063
492.00	0.064
491.50	0.065
491.00	0.066
490.50	0.067
490.00	0.068
489.50	0.068
489.00	0.070
488.50	0.071
488.00	0.072
487.50	0.073
487.00	0.075
486.50	0.076
486.00	0.077
485.50	0.079
485.00	0.080
484.50	0.082
484.00	0.083
483.50	0.085
483.00	0.087
482.50	0.089
482.00	0.091
481.50	0.093
481.00	0.095
480.50	0.098
480.00	0.100
479.50	0.103
479.00	0.106
478.50	0.109
478.00	0.112
477.50	0.115
477.00	0.118
476.50	0.122
476.00	0.126
475.50	0.129
475.00	0.133
474.50	0.137
474.00	0.142
473.50	0.147
473.00	0.152
472.50	0.157
472.00	0.162
471.50	0.168
471.00	0.174
470.50	0.179
470.00	0.185
469.50	0.192
469.00	0.198
468.50	0.205
468.00	0.212
467.50	0.220
467.00	0.228
466.50	0.236
466.00	0.244
465.50	0.253
465.00	0.262
464.50	0.272
464.00	0.281
463.50	0.291
463.00	0.301
462.50	0.312
462.00	0.322
461.50	0.333
461.00	0.344
460.50	0.355
460.00	0.367
459.50	0.379
459.00	0.391
458.50	0.404
458.00	0.417
457.50	0.430
457.00	0.444
456.50	0.458
456.00	0.472
455.50	0.486
455.00	0.500
454.50	0.514
454.00	0.529
453.50	0.544
453.00	0.558
452.50	0.573
452.00	0.589
451.50	0.604
451.00	0.620
450.50	0.636
450.00	0.652
449.50	0.668
449.00	0.684
448.50	0.700
448.00	0.716
447.50	0.731
447.00	0.747
446.50	0.762
446.00	0.776
445.50	0.791
445.00	0.805
444.50	0.819
444.00	0.832
443.50	0.844
443.00	0.856
442.50	0.867
442.00	0.878
441.50	0.887
441.00	0.896
440.50	0.904
440.00	0.911
439.50	0.917
439.00	0.922
438.50	0.926
438.00	0.928
437.50	0.931
437.00	0.932
436.50	0.932
436.00	0.931
435.50	0.930
435.00	0.928
434.50	0.925
434.00	0.921
433.50	0.916
433.00	0.911
432.50	0.905
432.00	0.899
431.50	0.893
431.00	0.886
430.50	0.879
430.00	0.872
429.50	0.864
429.00	0.856
428.50	0.848
428.00	0.840
427.50	0.832
427.00	0.823
426.50	0.815
426.00	0.806
425.50	0.797
425.00	0.787
424.50	0.778
424.00	0.769
423.50	0.759
423.00	0.750
422.50	0.740
422.00	0.731
421.50	0.721
421.00	0.711
420.50	0.701
420.00	0.691
419.50	0.681
419.00	0.671
418.50	0.660
418.00	0.650
417.50	0.639
417.00	0.629
416.50	0.618
416.00	0.608
415.50	0.598
415.00	0.588
414.50	0.579
414.00	0.569
413.50	0.560
413.00	0.550
412.50	0.541
412.00	0.532
411.50	0.522
411.00	0.512
410.50	0.502
410.00	0.492
409.50	0.483
409.00	0.473
408.50	0.463
408.00	0.454
407.50	0.445
407.00	0.436
406.50	0.428
406.00	0.419
405.50	0.412
405.00	0.404
404.50	0.397
404.00	0.390
403.50	0.383
403.00	0.377
402.50	0.371
402.00	0.365
401.50	0.359
401.00	0.354
400.50	0.349
400.00	0.344
399.50	0.339
399.00	0.335
398.50	0.330
398.00	0.326
397.50	0.323
397.00	0.319
396.50	0.315
396.00	0.312
395.50	0.309
395.00	0.306
394.50	0.303
394.00	0.301
393.50	0.299
393.00	0.297
392.50	0.295
392.00	0.293
391.50	0.292
391.00	0.290
390.50	0.289
390.00	0.288
389.50	0.287
389.00	0.287
388.50	0.286
388.00	0.286
387.50	0.285
387.00	0.284
386.50	0.284
386.00	0.283
