ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiophene_OH_5.UDS
ï™êÕì˙éû:	16:22:29, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
800.00	0.002
799.50	0.002
799.00	0.002
798.50	0.002
798.00	0.002
797.50	0.002
797.00	0.002
796.50	0.002
796.00	0.002
795.50	0.002
795.00	0.002
794.50	0.002
794.00	0.002
793.50	0.003
793.00	0.003
792.50	0.003
792.00	0.003
791.50	0.003
791.00	0.003
790.50	0.003
790.00	0.003
789.50	0.003
789.00	0.003
788.50	0.003
788.00	0.003
787.50	0.003
787.00	0.003
786.50	0.003
786.00	0.002
785.50	0.002
785.00	0.003
784.50	0.003
784.00	0.003
783.50	0.003
783.00	0.003
782.50	0.002
782.00	0.002
781.50	0.002
781.00	0.002
780.50	0.002
780.00	0.003
779.50	0.003
779.00	0.003
778.50	0.003
778.00	0.003
777.50	0.003
777.00	0.003
776.50	0.003
776.00	0.003
775.50	0.003
775.00	0.003
774.50	0.003
774.00	0.003
773.50	0.003
773.00	0.004
772.50	0.004
772.00	0.004
771.50	0.004
771.00	0.004
770.50	0.004
770.00	0.004
769.50	0.004
769.00	0.004
768.50	0.004
768.00	0.004
767.50	0.004
767.00	0.004
766.50	0.004
766.00	0.004
765.50	0.004
765.00	0.004
764.50	0.004
764.00	0.004
763.50	0.004
763.00	0.004
762.50	0.004
762.00	0.004
761.50	0.004
761.00	0.004
760.50	0.005
760.00	0.005
759.50	0.005
759.00	0.005
758.50	0.005
758.00	0.005
757.50	0.005
757.00	0.005
756.50	0.005
756.00	0.005
755.50	0.005
755.00	0.005
754.50	0.005
754.00	0.005
753.50	0.006
753.00	0.006
752.50	0.006
752.00	0.006
751.50	0.006
751.00	0.007
750.50	0.007
750.00	0.007
749.50	0.007
749.00	0.007
748.50	0.007
748.00	0.007
747.50	0.007
747.00	0.007
746.50	0.008
746.00	0.008
745.50	0.008
745.00	0.008
744.50	0.008
744.00	0.008
743.50	0.008
743.00	0.009
742.50	0.009
742.00	0.009
741.50	0.009
741.00	0.009
740.50	0.010
740.00	0.010
739.50	0.010
739.00	0.010
738.50	0.010
738.00	0.010
737.50	0.011
737.00	0.011
736.50	0.011
736.00	0.012
735.50	0.012
735.00	0.012
734.50	0.012
734.00	0.013
733.50	0.013
733.00	0.014
732.50	0.014
732.00	0.014
731.50	0.015
731.00	0.015
730.50	0.015
730.00	0.016
729.50	0.016
729.00	0.016
728.50	0.017
728.00	0.017
727.50	0.018
727.00	0.019
726.50	0.019
726.00	0.020
725.50	0.021
725.00	0.022
724.50	0.022
724.00	0.023
723.50	0.023
723.00	0.024
