ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiazole_OH_max.UDS
ï™êÕì˙éû:	18:06:48, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
612.00	0.090
611.50	0.090
611.00	0.089
610.50	0.089
610.00	0.088
609.50	0.088
609.00	0.087
608.50	0.086
608.00	0.086
607.50	0.085
607.00	0.084
606.50	0.082
606.00	0.081
605.50	0.080
605.00	0.079
604.50	0.078
604.00	0.077
603.50	0.076
603.00	0.074
602.50	0.073
602.00	0.072
601.50	0.070
601.00	0.069
600.50	0.068
600.00	0.067
599.50	0.066
599.00	0.065
598.50	0.064
598.00	0.063
597.50	0.063
597.00	0.062
596.50	0.061
596.00	0.060
595.50	0.060
595.00	0.059
594.50	0.058
594.00	0.057
593.50	0.056
593.00	0.056
592.50	0.056
592.00	0.056
591.50	0.055
591.00	0.055
590.50	0.055
590.00	0.055
589.50	0.054
589.00	0.054
588.50	0.054
588.00	0.054
587.50	0.054
587.00	0.054
586.50	0.054
586.00	0.054
585.50	0.054
585.00	0.055
584.50	0.055
584.00	0.055
583.50	0.055
583.00	0.055
582.50	0.055
582.00	0.055
581.50	0.055
581.00	0.056
580.50	0.056
580.00	0.056
579.50	0.056
579.00	0.056
578.50	0.056
578.00	0.057
577.50	0.057
577.00	0.057
576.50	0.056
576.00	0.056
575.50	0.056
575.00	0.055
574.50	0.055
574.00	0.055
573.50	0.055
573.00	0.055
572.50	0.054
572.00	0.054
571.50	0.053
571.00	0.052
570.50	0.052
570.00	0.051
569.50	0.051
569.00	0.050
568.50	0.049
568.00	0.049
567.50	0.048
567.00	0.048
566.50	0.047
566.00	0.047
565.50	0.046
565.00	0.046
564.50	0.045
564.00	0.045
563.50	0.044
563.00	0.044
562.50	0.044
562.00	0.043
561.50	0.043
561.00	0.043
560.50	0.042
560.00	0.042
559.50	0.042
559.00	0.042
558.50	0.041
558.00	0.041
557.50	0.041
557.00	0.041
556.50	0.041
556.00	0.041
555.50	0.041
555.00	0.041
554.50	0.042
554.00	0.042
553.50	0.042
553.00	0.042
552.50	0.042
552.00	0.042
551.50	0.042
551.00	0.043
550.50	0.043
550.00	0.043
549.50	0.044
549.00	0.044
548.50	0.045
548.00	0.045
547.50	0.046
547.00	0.046
546.50	0.047
546.00	0.048
545.50	0.048
545.00	0.049
544.50	0.050
544.00	0.050
543.50	0.051
543.00	0.052
542.50	0.053
542.00	0.054
541.50	0.055
541.00	0.055
540.50	0.056
540.00	0.057
539.50	0.058
539.00	0.059
538.50	0.059
538.00	0.060
537.50	0.061
537.00	0.062
536.50	0.062
536.00	0.063
535.50	0.063
535.00	0.064
534.50	0.064
534.00	0.064
533.50	0.065
533.00	0.065
532.50	0.065
532.00	0.065
531.50	0.065
531.00	0.064
530.50	0.064
530.00	0.064
529.50	0.063
529.00	0.063
528.50	0.062
528.00	0.061
