ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiophene_OH_7.UDS
ï™êÕì˙éû:	16:57:00, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
612.00	0.055
611.50	0.055
611.00	0.054
610.50	0.053
610.00	0.053
609.50	0.052
609.00	0.052
608.50	0.052
608.00	0.051
607.50	0.051
607.00	0.050
606.50	0.050
606.00	0.049
605.50	0.048
605.00	0.048
604.50	0.047
604.00	0.047
603.50	0.047
603.00	0.046
602.50	0.046
602.00	0.046
601.50	0.045
601.00	0.045
600.50	0.044
600.00	0.044
599.50	0.044
599.00	0.043
598.50	0.043
598.00	0.043
597.50	0.043
597.00	0.043
596.50	0.043
596.00	0.043
595.50	0.043
595.00	0.043
594.50	0.043
594.00	0.043
593.50	0.043
593.00	0.043
592.50	0.043
592.00	0.044
591.50	0.044
591.00	0.044
590.50	0.044
590.00	0.045
589.50	0.045
589.00	0.045
588.50	0.045
588.00	0.046
587.50	0.046
587.00	0.046
586.50	0.046
586.00	0.046
585.50	0.047
585.00	0.047
584.50	0.047
584.00	0.047
583.50	0.047
583.00	0.048
582.50	0.048
582.00	0.048
581.50	0.048
581.00	0.048
580.50	0.048
580.00	0.048
579.50	0.048
579.00	0.048
578.50	0.047
578.00	0.047
577.50	0.047
577.00	0.047
576.50	0.047
576.00	0.047
575.50	0.047
575.00	0.046
574.50	0.046
574.00	0.045
573.50	0.045
573.00	0.045
572.50	0.044
572.00	0.044
571.50	0.043
571.00	0.043
570.50	0.042
570.00	0.042
569.50	0.042
569.00	0.042
568.50	0.041
568.00	0.041
567.50	0.040
567.00	0.040
566.50	0.040
566.00	0.040
565.50	0.040
565.00	0.039
564.50	0.039
564.00	0.039
563.50	0.039
563.00	0.038
562.50	0.038
562.00	0.038
561.50	0.038
561.00	0.038
560.50	0.038
560.00	0.038
559.50	0.038
559.00	0.038
558.50	0.038
558.00	0.038
557.50	0.038
557.00	0.038
556.50	0.038
556.00	0.039
555.50	0.039
555.00	0.039
554.50	0.040
554.00	0.040
553.50	0.041
553.00	0.041
552.50	0.042
552.00	0.042
551.50	0.043
551.00	0.043
550.50	0.044
550.00	0.044
549.50	0.045
549.00	0.045
548.50	0.046
548.00	0.046
